Station,Year,Month,Day,Hour,Temperature (°C),Wet Bulb Temperature (°C),Dew Point Temperature (°C),RH (%),Scalar Mean Wind Direction (°),Scalar Mean Wind Speed (m/s),SLP (hPa)
S44,2010,1,1,1,25.4,22.9,21.9,81,33,1.4,—
S44,2010,1,1,2,25.4,22.9,21.9,81,32,1.2,—
S44,2010,1,1,3,25.2,22.9,22,82,12,1.1,—
S44,2010,1,1,4,25.1,22.8,21.9,83,337,0.8,—
S44,2010,1,1,5,24.9,22.8,22,84,353,1,—
S44,2010,1,1,6,24.9,22.9,22.1,85,345,1,—
S44,2010,1,1,7,24.7,23.1,22.5,88,2,0.5,—
S44,2010,1,1,8,25.5,23.4,22.6,84,356,0.7,—
S44,2010,1,1,9,26.6,23,21.6,74,16,1.6,—
S44,2010,1,1,10,27,22.9,21.2,71,15,1.9,—
S44,2010,1,1,11,28.7,22.7,20.1,60,2,1.9,—
S44,2010,1,1,12,29.5,22.9,20.1,57,358,2,—
S44,2010,1,1,13,30.3,23.1,20,54,12,1.7,—
S44,2010,1,1,14,31.3,23.3,19.9,51,2,1.6,—
S44,2010,1,1,15,31.3,22.8,19.1,48,162,1.5,—
S44,2010,1,1,16,26.7,24.1,23.1,81,212,1.1,—
S44,2010,1,1,17,26.4,24,23,82,288,1.2,—
S44,2010,1,1,18,24.2,23.5,23.2,94,250,1.7,—
S44,2010,1,1,19,24.1,23.5,23.3,95,297,1.6,—
S44,2010,1,1,20,24.2,23.4,23.1,93,327,1.3,—
S44,2010,1,1,21,24.7,23.8,23.4,92,357,1.1,—
S44,2010,1,1,22,24.6,23.7,23.4,93,336,1.6,—
S44,2010,1,1,23,24.7,24,23.7,94,324,1.9,—
S44,2010,1,1,24,24.8,24,23.7,93,350,1.5,—
S44,2010,1,2,1,24.7,23.8,23.4,93,344,1.3,—
S44,2010,1,2,2,24.6,23.6,23.2,92,347,1.2,—
S44,2010,1,2,3,24.4,23.5,23.2,93,336,1.5,—
S44,2010,1,2,4,23.9,23.4,23.2,96,321,1.8,—
S44,2010,1,2,5,23.8,23.3,23.1,96,359,0.9,—
S44,2010,1,2,6,23.9,23.3,23.1,95,7,0.7,—
S44,2010,1,2,7,23.9,23.2,23,95,10,1.1,—
S44,2010,1,2,8,24.7,23.9,23.7,94,29,0.8,—
S44,2010,1,2,9,26.1,23.8,22.9,83,31,1.1,—
S44,2010,1,2,10,26.7,24.4,23.5,83,39,1.8,—
S44,2010,1,2,11,27.6,24.3,23.1,76,28,1.6,—
S44,2010,1,2,12,29.3,24.6,22.9,69,92,1,—
S44,2010,1,2,13,27.4,24.7,23.8,81,206,1.6,—
S44,2010,1,2,14,29.6,25,23.4,69,228,1.3,—
S44,2010,1,2,15,27.9,24.6,23.4,76,323,0.9,—
S44,2010,1,2,16,28,24.6,23.3,75,333,1.6,—
S44,2010,1,2,17,26.9,23.5,22.2,76,324,1.5,—
S44,2010,1,2,18,26.5,24.2,23.3,82,324,2.1,—
S44,2010,1,2,19,26.8,23.8,22.6,78,320,1.3,—
S44,2010,1,2,20,26.4,24.7,24.1,87,343,1,—
S44,2010,1,2,21,26,24.7,24.3,90,12,1.4,—
S44,2010,1,2,22,25.9,24.8,24.4,91,348,1.3,—
S44,2010,1,2,23,25.7,24.7,24.3,92,25,2,—
S44,2010,1,2,24,25.5,24.5,24.2,92,21,2.1,—
S44,2010,1,3,1,25.3,24.4,24,92,11,1.7,—
S44,2010,1,3,2,25.3,24.3,23.9,92,7,1.2,—
S44,2010,1,3,3,25.2,24.2,23.9,92,16,1.7,—
S44,2010,1,3,4,24.9,24.1,23.8,94,31,1.7,—
S44,2010,1,3,5,24.9,24.3,24.1,95,37,1.6,—
S44,2010,1,3,6,25.1,24.4,24.2,95,68,0.8,—
S44,2010,1,3,7,25.4,24.3,23.9,92,23,1.2,—
S44,2010,1,3,8,25.1,24.5,24.3,95,31,1.9,—
S44,2010,1,3,9,26,24.9,24.6,92,36,1.2,—
S44,2010,1,3,10,27.4,25.1,24.3,83,69,1.3,—
S44,2010,1,3,11,29.2,24.7,23,69,63,1.8,—
S44,2010,1,3,12,29.7,24.3,22.2,64,39,2.1,—
S44,2010,1,3,13,30.2,24.3,22,62,57,1.2,—
